No,カテゴリ,テーマ内容,基本ヒント,追加ヒント1,追加ヒント2,対応マーク
1,食事,好きな食べ物,最近よく食べる？|誰と食べる？|どこで食べる？,季節で変わる？|思い出に残る味？,昔から好き？|味覚の変化ある？,
2,食事,嫌いな食べ物,どんな食べ物？|理由は？|いつから苦手？,克服できそう？|誰かの影響？,子どもの頃は食べられた？|周囲の反応は？,
3,食事,最近、意外においしかった食べ物,どこで食べた？|どうして意外だった？|誰と一緒だった？,普段はあまり食べないジャンル？|また食べたいと思った？,味の印象が残った理由は？|意外性がある食べ物って他にもある？,
4,食事,朝食スタイル,食べる派？抜く派？|定番メニューは？|時間どのくらい？,休日は変える？|理想の朝食？,子どもの頃との違い？|家族の影響ある？,
5,食事,お弁当のおかず,定番は？|自分で作る？|買うこと多い？,思い出のお弁当ある？|好きな組み合わせ？,人に作ってもらうと嬉しい？|おかずのこだわりある？,
6,食事,甘党？辛党？,どっち派？|理由は？|好きな料理は？,季節で好み変わる？|家族の傾向は？,味覚変化を感じる？|子どもの頃は逆だった？,
7,食事,食のマイルール,食べ方のこだわりある？|順番決まってる？|味変する？,周囲に驚かれたことある？|始めたきっかけ？,人に理解されないこだわり？|マイルールが生まれた背景？,
8,食事,人生最後に食べたいもの,何を選ぶ？|理由は？|誰と食べたい？,思い出の味ある？|場所も大事？,人生の節目で食べたもの？|その料理に込める想い？,
9,食事,季節の食べ物,旬を意識する？|好きな季節料理ある？|食べるタイミング？,行事と関係ある？|地域の味覚？,昔ながらの味が好き？|季節の移ろい感じる？,
10,食事,コンビニでつい買うもの,どんな商品？|どこのコンビニ？|いつ買う？,限定品チェックする？|定番ある？,健康意識してる？|昔と比べて変わった？,
11,飲料・酒,普段よく飲む飲み物,何をよく飲む？|どのくらいの頻度？|いつ飲む？,こだわりある？|季節で変える？,昔から変わらない？|健康意識してる？,
12,飲料・酒,朝によく飲むもの,定番は？|理由は？|朝の気分で変える？,朝食と一緒？|習慣になってる？,いつからの習慣？|家族の影響ある？,
13,飲料・酒,カフェでよく頼むメニュー,どんなカフェ？|何を注文する？|どの時間帯に行く？,お気に入りの店ある？|季節限定メニュー好き？,カフェ選びの基準？|理想の過ごし方？,
14,飲料・酒,紅茶・コーヒーのこだわり,どっち派？|淹れ方のこだわり？|どこで飲む？,お気に入りの銘柄ある？|飲み方変わった？,味覚の変化感じる？|飲むと落ち着く理由？,
15,飲料・酒,お酒を飲む時,どんな時に飲む？|誰と？|どんなお酒？,一番好きな種類？|おつまみは？,飲み方変化した？|お酒との付き合い方？,underage
16,飲料・酒,思い出に残るお酒,どんなお酒？|どんな場面？|誰と一緒？,印象的な味？|再現したことある？,人生の転機と関係？|感情を思い出す？,underage
17,飲料・酒,お酒での失敗談,どんな出来事？|いつ？|どこで？,今なら笑える？|教訓になった？,同じ経験ある？|その後気をつけた？,underage
18,飲料・酒,好きな居酒屋・バー,どんな雰囲気？|何を飲む？|誰と行く？,おすすめメニューある？|店員と話す？,通う理由は？|特別な思い出ある？,underage
19,飲料・酒,ノンアル飲料で好きなもの,どんな飲み物？|いつ飲む？|理由は？,気分転換になる？|季節で変える？,健康意識してる？|昔は飲まなかった？,
20,飲料・酒,理想の飲み方・過ごし方,どこで？|誰と？|何を飲む？,シーンを想像できる？|音楽や食事も関係ある？,理想の時間帯ある？|現実とのギャップある？,
21,グルメ,最近行ってよかった店,どこで？|何を食べた？|誰と行った？,印象に残った理由は？|また行きたい？,店の雰囲気は？|価格と満足度は？,
22,グルメ,行きつけの店,どんなお店？|どのくらい通ってる？|何を頼む？,店員と話す？|通い始めたきっかけ？,変わらない魅力は？|思い出のエピソードある？,
23,グルメ,初めて行った高級店,どんな店？|誰と行った？|印象は？,緊張した？|味やサービスは？,学びがあった？|また行きたいと思った？,
24,グルメ,旅先で食べた印象的な料理,どこの店？|何を食べた？|誰と？,どういう味だった？|また食べたい？,その土地の文化を感じた？|料理の背景が印象的？,
25,グルメ,外食での失敗談,どんな失敗？|いつ？|どう対応した？,今なら笑える？|原因は何だった？,教訓になった？|同じこと繰り返した？,
26,グルメ,予約して行きたい店,どんな店？|理由は？|誰と行きたい？,どうやって見つけた？|人気の理由知ってる？,記念日などに行きたい？|夢のレストランある？,
27,グルメ,地元の名店,どんなお店？|名物は？|いつからある？,人に勧めたい？|よく行く？,味が変わってない？|地元愛感じる？,
28,グルメ,食べ放題に行くなら何を選ぶ？,どんなジャンル？|どのくらい食べる？|誰と行く？,一番好きなメニュー？|満足度は？,後悔したことある？|食べ方のコツ？,
29,グルメ,夜食で食べたいもの,何を食べる？|どの時間？|どこで？,夜食後どうする？|健康気にする？,夜食で落ち着く理由？|昔からの癖ある？,
30,グルメ,期間限定・話題の店に行ったことある？,どんな店？|何を食べた？|行列できてた？,どうやって知った？|期待通りだった？,再訪したい？|ブームの印象は？,
31,自炊,得意料理,何をよく作る？|いつから得意？|誰に褒められた？,きっかけは？|どこで覚えた？,失敗から学んだことある？|人に振る舞ったことある？,
32,自炊,最近作った料理,何を作った？|誰と食べた？|味はどうだった？,新しいレシピ試した？|工夫した点は？,また作りたいと思う？|改善点ある？,
33,自炊,料理を始めたきっかけ,いつから？|きっかけは？|最初に作った料理は？,家族や友人の影響？|楽しさを感じた瞬間？,続ける理由は？|苦手を克服できた？,
34,自炊,失敗した料理,何を作った？|どう失敗した？|その時どうした？,リベンジした？|今ならどう直す？,笑える思い出になった？|教訓にしてる？,
35,自炊,冷蔵庫の定番食材,常にある食材は？|どう使う？|なぜ欠かせない？,料理の幅広がる？|保存のコツある？,習慣になった理由？|昔から同じ？,
36,自炊,料理に使う調味料のこだわり,よく使う調味料は？|メーカーやブランド気にする？|どんな味が好み？,他と比べた違いは？|人に勧めたい？,味の決め手だと思う？|使い始めたきっかけ？,
37,自炊,時短料理のコツ,どんな工夫してる？|よく作るメニューは？|何分以内に作れる？,使ってる道具は？|下ごしらえの工夫ある？,忙しい時の救世主？|昔より効率上がった？,
38,自炊,料理のこだわりポイント,味？見た目？|誰のために作る？|一番気をつけること？,どんな時に満足する？|真似したい人いる？,自分らしさが出る部分？|プロ意識ある？,
39,自炊,レシピの探し方,どこで探す？|誰のレシピ参考にする？|何で決める？,動画派？本派？|レシピサイトお気に入り？,アレンジして使う？|レシピを見ないで作ることある？,
40,自炊,人に料理をふるまうとき,誰に作る？|どんな料理？|気をつけることは？,喜ばれた料理ある？|緊張する？,作る前に考えること？|思い出に残ってる反応ある？,
41,健康・運動,健康のために続けていること,何をしてる？|いつから？|どのくらいの頻度？,効果を感じる？|きっかけは？,やめた時どうなる？|周りに勧めたい？,
42,健康・運動,最近意識している体調管理,気をつけてることは？|食事？睡眠？運動？|どう改善した？,以前との違いある？|成果感じる？,健康意識が変わった？|きっかけとなった出来事？,
43,健康・運動,運動習慣,どんな運動？|どのくらいの頻度？|いつ始めた？,きっかけは？|継続のコツある？,やらないと落ち着かない？|運動後の変化は？,
44,健康・運動,食生活のこだわり,朝昼晩のバランス？|避けてる食材ある？|健康意識してる？,外食と自炊どっち多い？|サプリなど使う？,昔と比べて変化ある？|家族の影響ある？,
45,健康・運動,睡眠の工夫,寝る時間は？|寝る前にすること？|睡眠時間どれくらい？,快眠のコツある？|休日は違う？,眠れない時の対処法？|昔より睡眠変化した？,
